# OBJECT NAME          RA        Dec      Epoch   Preferred   Guiding  Guider
#                   HH MM SS   DD MM SS           Pier Side   Star?    Position
#                                                             1-yes    [cm]
NGC7380             22 45 30   57 55 00   1960    E           1        4.3








Gaia15abh           22 18 30  39 48 37  2000
Gaia15abu	    17 04 50  41 01 04  2000
Gaia15abz	    12 27 19  07 17 03  2000
Gaia15acd	    18 01 53  25 43 23  2000
Gaia15acu            8 57 10  36 40 05  2000
Gaia15acy	     8 35 49  28 52 57  2000
Gaia15adt           14 01 15  44 18 30  2000
Gaia15ael           13 33 23  58 43 31  2000
Gaia15aek            6 47 03  64 56 04  2000
Gaia15aev           13 21 55  35 21 32  2000
Gaia15aer           23 35 52  23 36 52  2000
Gaia15aet            9 02 38  25 56 04  2000
Gaia15aeo            4 21 42  34 03 28  2000
Gaia16aia           23 23 26  69 58 53  2000
Gaia16aib           07 38 34  04 07 15  2000
Gaia16afy           18 13 35  31 44 18  2000
Gaia16aag           17 32 43  28 53 24  2000
Gaia16abw           10 33 51  60 51 07  2000
Gaia16abk           14 05 57  43 53 02  2000
Gaia16adb           12 09 30  76 09 12  2000
Gaia16agl           17 34 30  14 34 38  2000
Gaia16ael           16 38 54  58 35 27  2000
Gaia16ahq            3 06 45  46 09 13  2000
Gaia16ahw            7 30 17  25 01 55  2000
Gaia16aiu           12 48 13  66 39 09  2000
Gaia16aiz           17 20 28  58 04 54  2000
Gaia16afg           18 00 34  43 06 04  2000
Gaia16ajb           12 56 14  56 49 11  2000
Gaia16ajm           15 10 24  45 09 54  2000
Gaia16ajq           14 53 02  42 21 28  2000
Gaia16alb           07 28 11  72 34 31  2000
Gaia16akk           09 09 51  47 53 48  2000
Gaia16akg           08 04 28  29 07 40  2000
Gaia16alf           16 40 16  22 46 58  2000
Gaia16alh           04 31 13  67 47 50  2000
Gaia16alo           19 02 25  63 41 06  2000
Gaia16alq           18 12 29  31 16 47  2000
Gaia16alv           17 56 34  15 53 44  2000
Gaia16alk           17 08 27  25 30 51  2000
Gaia16alz           18 55 01  01 38 57  2000
Gaia16amd           20 35 30  06 36 53  2000
Gaia16amg           06 41 59  38 36 23  2000
Gaia16amh           22 28 48  34 26 06  2000
Gaia16aml           06 58 55  45 19 57  2000
Gaia16alt           21 43 00  66 11 28  2000
Gaia16ams           22 23 59  25 44 25  2000
Gaia16apu           17 03 58  76 46 10  2000
Gaia16aoz           10 48 28  71 43 36  2000
Gaia16arz           17 10 24  26 23 48  2000
Gaia16asm           20 02 07  17 46 50  2000
Gaia16avf           12 37 31  57 31 56  2000
Gaia16avl           03 34 38  13 34 50  2000
Gaia16aye           19 40 01  30 07 53  2000
Gaia16bay           00 21 23  22 26 07  2000
Gaia16bbi           23 59 16  22 03 01  2000
Gaia16bbs           17 38 58  35 19 20  2000
Gaia16bby           15 02 37  23 21 10  2000
Gaia16bbz           19 16 39  46 21 07  2000
Gaia16bak           00 05 11  27 37 29  2000
Gaia16bes           02 18 55  52 00 03  2000
Gaia16ber           01 58 44  24 01 13  2000
Gaia16bei           01 54 40  57 53 51  2000
Gaia16bfd           02 49 43  46 34 37  2000
Gaia16bft           03 32 33  31 02 22  2000
Gaia16bjg           15 26 29  41 44 04  2000
Gaia16bre           07 26 46  85 45 51  2000
Gaia16brd           04 07 12  59 34 18  2000
Gaia16bnz           03 40 18  49 21 32  2000
Gaia16bza           22 34 36  45 51 49  2000
Gaia16byy           22 18 02  47 35 16  2000
Gaia16byu           23 44 45  29 51 44  2000
Gaia16cdy           04 59 30  75 15 44  2000
Gaia16cfa           21 46 48  48 27 48  2000
Gaia16cfv           10 04 19  43 25 28  2000
Gaia17aah           12 27 40  40 36 53  2000
Gaia17agj           22 27 15  57 51 15  2000
Gaia17agk           04 14 48  35 10 58  2000
Gaia17arv           03 23 59  37 45 30  2000
Gaia17auz           00 39 07  69 45 48  2000
Gaia17aur           07 18 17  55 43 58  2000
Gaia17auo           22 59 15  53 43 00  2000
Gaia17aue           07 54 13  21 47 36  2000
Gaia17avj           09 08 37  03 14 48  2000
Gaia17awv           21 17 02  44 29 31  2000
Gaia17bbu           14 51 47  43 38 41  2000
Gaia17bcy           16 11 48  60 35 10  2000
Gaia17bdd           17 03 12  61 27 26  2000
Gaia17big           10 23 20  22 23 39  2000
Gaia17biu           10 19 06  46 27 14  2000
Gaia17bjo           08 21 35  76 20 32  2000
Gaia17bjw           11 52 53  44 07 26  2000
Gaia17bjv           11 51 06  43 24 52  2000
Gaia17bse           20 20 50  39 39 00  2000
Gaia17bsh           18 04 02  66 35 15  2000
Gaia17bts           01 08 53  73 53 46  2000
Gaia17btr           00 23 27  63 33 15  2000
Gaia17bsu           13 10 59  78 24 37  2000
Gaia17bxa           13 54 04  23 37 01  2000
Gaia17bum           01 12 50  32 08 17  2000
Gaia17bxh           04 55 53  46 24 03  2000
Gaia17bxj           13 10 50  49 53 52  2000
Gaia17bxo           14 20 44  35 55 23  2000
Gaia17byc           15 41 56  16 08 59  2000
Gaia17byj           05 29 30  37 05 25  2000
Gaia17caj           17 40 19  41 06 53  2000
Gaia17cal           17 05 28  69 13 19  2000
Gaia17cav           17 45 38  60 19 24  2000
Gaia17cay           18 18 09  18 05 25  2000
Gaia17dka           10 23 45  53 06 19  2000
Gaia18akt           06 25 18  12 32 11  2000
Gaia18arn           21 35 15  50 28 50  2000
Gaia18anr	    06 18 03  78 22 01  2000
Gaia18axl           22 28 34  54 02 58  2000
Gaia18azh	    12 10 38  39 23 48  2000
